AllocatedRatio ObservedRatio
1              1.02972399150743
1              1.14939759036145
1              0.952380952380952
2              1.94632768361582
2              1.83957219251337
2              2.15976331360947
3              2.98407643312102
3              2.9126213592233
3              3.28327645051195
4              4.51333333333333
4              3.84717607973422
4              4.23472668810289
5              5.00378787878788
5              5.1063829787234
5              5.22299651567944
6              5.97297297297297
6              5.94525547445255
6              5.96062992125984
7              6.19494584837545
7              6.34328358208955
7              6.6780303030303
8              9.41379310344828
8              7.12452830188679
8              7.0241935483871
9              9.4901185770751
9              9.78925619834711
9              8.47560975609756
10             10.3960784313725
10             8.95801526717557
10             9.93975903614458
